Row Labels,Sum of sales_qty
1/5/2017,24
1/6/2017,2
1/7/2017,4
1/8/2017,5
1/9/2017,4
1/10/2017,4
1/11/2017,4
1/12/2017,7
1/13/2017,6
1/14/2017,10
1/15/2017,10
1/16/2017,7
1/17/2017,9
1/18/2017,19
1/19/2017,20
1/20/2017,22
1/21/2017,20
1/22/2017,10
1/23/2017,30
1/24/2017,21
1/25/2017,37
1/26/2017,41
1/27/2017,26
1/28/2017,24
1/29/2017,21
1/30/2017,27
1/31/2017,31
2/1/2017,30
2/2/2017,31
2/3/2017,28
2/4/2017,35
2/5/2017,28
2/6/2017,37
2/7/2017,59
2/8/2017,46
2/9/2017,41
2/10/2017,39
2/11/2017,17
2/12/2017,26
2/13/2017,45
2/14/2017,48
2/15/2017,29
2/16/2017,29
2/17/2017,22
2/18/2017,35
2/19/2017,20
2/20/2017,34
2/21/2017,24
2/22/2017,34
2/23/2017,32
2/24/2017,39
2/25/2017,23
2/26/2017,25
2/27/2017,22
2/28/2017,40
3/1/2017,47
3/2/2017,30
3/3/2017,41
3/4/2017,38
3/5/2017,34
3/6/2017,48
3/7/2017,41
3/8/2017,54
3/9/2017,61
3/10/2017,49
3/11/2017,48
3/12/2017,25
3/13/2017,43
3/14/2017,46
3/15/2017,59
3/16/2017,58
3/17/2017,33
3/18/2017,33
3/19/2017,24
3/20/2017,56
3/21/2017,50
3/22/2017,60
3/23/2017,50
3/24/2017,43
3/25/2017,33
3/26/2017,36
3/27/2017,46
3/28/2017,51
3/29/2017,35
3/30/2017,46
3/31/2017,39
4/1/2017,24
4/2/2017,38
4/3/2017,35
4/4/2017,48
4/5/2017,53
4/6/2017,50
4/7/2017,43
4/8/2017,34
4/9/2017,31
4/10/2017,38
4/11/2017,31
4/12/2017,31
4/13/2017,30
4/14/2017,26
4/15/2017,29
4/16/2017,15
4/17/2017,33
4/18/2017,38
4/19/2017,50
4/20/2017,84
4/21/2017,32
4/22/2017,38
4/23/2017,35
4/24/2017,53
4/25/2017,43
4/26/2017,61
4/27/2017,41
4/28/2017,53
4/29/2017,34
4/30/2017,23
5/1/2017,43
5/2/2017,52
5/3/2017,44
5/4/2017,48
5/5/2017,58
5/6/2017,54
5/7/2017,62
5/8/2017,52
5/9/2017,62
5/10/2017,51
5/11/2017,62
5/12/2017,54
5/13/2017,36
5/14/2017,54
5/15/2017,95
5/16/2017,85
5/17/2017,67
5/18/2017,59
5/19/2017,68
5/20/2017,37
5/21/2017,72
5/22/2017,76
5/23/2017,57
5/24/2017,61
5/25/2017,42
5/26/2017,34
5/27/2017,38
5/28/2017,51
5/29/2017,73
5/30/2017,47
5/31/2017,62
6/1/2017,65
6/2/2017,58
6/3/2017,38
6/4/2017,38
6/5/2017,89
6/6/2017,59
6/7/2017,48
6/8/2017,82
6/9/2017,59
6/10/2017,28
6/11/2017,55
6/12/2017,79
6/13/2017,54
6/14/2017,66
6/15/2017,56
6/16/2017,45
6/17/2017,37
6/18/2017,44
6/19/2017,89
6/20/2017,53
6/21/2017,18
6/22/2017,37
6/23/2017,45
6/24/2017,48
6/25/2017,47
6/26/2017,33
6/27/2017,69
6/28/2017,48
6/29/2017,61
6/30/2017,41
7/1/2017,48
7/2/2017,44
7/3/2017,57
7/4/2017,60
7/5/2017,57
7/6/2017,63
7/7/2017,82
7/8/2017,38
7/9/2017,37
7/10/2017,74
7/11/2017,78
7/12/2017,92
7/13/2017,71
7/14/2017,84
7/15/2017,50
7/16/2017,79
7/17/2017,89
7/18/2017,82
7/19/2017,73
7/20/2017,97
7/21/2017,69
7/22/2017,37
7/23/2017,40
7/24/2017,76
7/25/2017,88
7/26/2017,61
7/27/2017,65
7/28/2017,61
7/29/2017,85
7/30/2017,61
7/31/2017,81
8/1/2017,89
8/2/2017,76
8/3/2017,71
8/4/2017,50
8/5/2017,59
8/6/2017,57
8/7/2017,83
8/8/2017,64
8/9/2017,76
8/10/2017,94
8/11/2017,88
8/12/2017,50
8/13/2017,52
8/14/2017,83
8/15/2017,73
8/16/2017,86
8/17/2017,81
8/18/2017,72
8/19/2017,56
8/20/2017,52
8/21/2017,85
8/22/2017,72
8/23/2017,61
8/24/2017,45
8/25/2017,55
8/26/2017,47
8/27/2017,45
8/28/2017,61
8/29/2017,70
8/30/2017,82
8/31/2017,67
9/1/2017,81
9/2/2017,59
9/3/2017,56
9/4/2017,67
9/5/2017,87
9/6/2017,67
9/7/2017,44
9/8/2017,54
9/9/2017,38
9/10/2017,71
9/11/2017,91
9/12/2017,128
9/13/2017,105
9/14/2017,94
9/15/2017,71
9/16/2017,77
9/17/2017,50
9/18/2017,94
9/19/2017,88
9/20/2017,92
9/21/2017,72
9/22/2017,66
9/23/2017,31
9/24/2017,49
9/25/2017,56
9/26/2017,97
9/27/2017,78
9/28/2017,69
9/29/2017,67
9/30/2017,58
10/1/2017,67
10/2/2017,94
10/3/2017,109
10/4/2017,73
10/5/2017,90
10/6/2017,73
10/7/2017,46
10/8/2017,61
10/9/2017,82
10/10/2017,91
10/11/2017,78
10/12/2017,63
10/13/2017,67
10/14/2017,54
10/15/2017,66
10/16/2017,95
10/17/2017,112
10/18/2017,112
10/19/2017,85
10/20/2017,61
10/21/2017,54
10/22/2017,71
10/23/2017,100
10/24/2017,69
10/25/2017,70
10/26/2017,84
10/27/2017,70
10/28/2017,44
10/29/2017,74
10/30/2017,77
10/31/2017,81
11/1/2017,51
11/2/2017,63
11/3/2017,77
11/4/2017,48
11/5/2017,75
11/6/2017,87
11/7/2017,73
11/8/2017,91
11/9/2017,80
11/10/2017,73
11/11/2017,54
11/12/2017,76
11/13/2017,89
11/14/2017,106
11/15/2017,92
11/16/2017,103
11/17/2017,92
11/18/2017,86
11/19/2017,59
11/20/2017,105
11/21/2017,119
11/22/2017,102
11/23/2017,137
11/24/2017,595
11/25/2017,301
11/26/2017,189
11/27/2017,231
11/28/2017,187
11/29/2017,150
11/30/2017,118
12/1/2017,134
12/2/2017,102
12/3/2017,111
12/4/2017,156
12/5/2017,161
12/6/2017,115
12/7/2017,102
12/8/2017,99
12/9/2017,88
12/10/2017,80
12/11/2017,118
12/12/2017,143
12/13/2017,96
12/14/2017,82
12/15/2017,81
12/16/2017,64
12/17/2017,73
12/18/2017,98
12/19/2017,76
12/20/2017,82
12/21/2017,71
12/22/2017,58
12/23/2017,49
12/24/2017,26
12/25/2017,42
12/26/2017,71
12/27/2017,77
12/28/2017,63
12/29/2017,64
12/30/2017,49
12/31/2017,36
1/1/2018,36
1/2/2018,77
1/3/2018,105
1/4/2018,131
1/5/2018,114
1/6/2018,129
1/7/2018,99
1/8/2018,134
1/9/2018,132
1/10/2018,138
1/11/2018,127
1/12/2018,128
1/13/2018,94
1/14/2018,98
1/15/2018,140
1/16/2018,164
1/17/2018,125
1/18/2018,139
1/19/2018,107
1/20/2018,79
1/21/2018,97
1/22/2018,132
1/23/2018,130
1/24/2018,128
1/25/2018,118
1/26/2018,120
1/27/2018,92
1/28/2018,67
1/29/2018,122
1/30/2018,131
1/31/2018,128
2/1/2018,113
2/2/2018,116
2/3/2018,86
2/4/2018,100
2/5/2018,149
2/6/2018,144
2/7/2018,113
2/8/2018,123
2/9/2018,97
2/10/2018,81
2/11/2018,95
2/12/2018,131
2/13/2018,125
2/14/2018,124
2/15/2018,130
2/16/2018,119
2/17/2018,107
2/18/2018,118
2/19/2018,120
2/20/2018,125
2/21/2018,142
2/22/2018,166
2/23/2018,103
2/24/2018,101
2/25/2018,121
2/26/2018,179
2/27/2018,169
2/28/2018,192
3/1/2018,123
3/2/2018,149
3/3/2018,93
3/4/2018,112
3/5/2018,148
3/6/2018,131
3/7/2018,138
3/8/2018,139
3/9/2018,105
3/10/2018,107
3/11/2018,107
3/12/2018,99
3/13/2018,123
3/14/2018,106
3/15/2018,131
3/16/2018,158
3/17/2018,78
3/18/2018,94
3/19/2018,159
3/20/2018,187
3/21/2018,133
3/22/2018,124
3/23/2018,105
3/24/2018,85
3/25/2018,122
3/26/2018,123
3/27/2018,126
3/28/2018,97
3/29/2018,107
3/30/2018,91
3/31/2018,95
4/1/2018,91
4/2/2018,136
4/3/2018,131
4/4/2018,135
4/5/2018,120
4/6/2018,81
4/7/2018,79
4/8/2018,83
4/9/2018,111
4/10/2018,94
4/11/2018,139
4/12/2018,144
4/13/2018,105
4/14/2018,84
4/15/2018,89
4/16/2018,143
4/17/2018,129
4/18/2018,155
4/19/2018,145
4/20/2018,100
4/21/2018,66
4/22/2018,112
4/23/2018,151
4/24/2018,138
4/25/2018,134
4/26/2018,105
4/27/2018,115
4/28/2018,79
4/29/2018,72
4/30/2018,134
5/1/2018,106
5/2/2018,155
5/3/2018,148
5/4/2018,137
5/5/2018,98
5/6/2018,101
5/7/2018,174
5/8/2018,139
5/9/2018,172
5/10/2018,159
5/11/2018,113
5/12/2018,98
5/13/2018,110
5/14/2018,182
5/15/2018,190
5/16/2018,142
5/17/2018,92
5/18/2018,121
5/19/2018,77
5/20/2018,93
5/21/2018,92
5/22/2018,95
5/23/2018,65
5/24/2018,52
5/25/2018,54
5/26/2018,50
5/27/2018,54
5/28/2018,69
5/29/2018,80
5/30/2018,66
5/31/2018,64
6/1/2018,88
6/2/2018,72
6/3/2018,88
6/4/2018,109
6/5/2018,127
6/6/2018,132
6/7/2018,148
6/8/2018,107
6/9/2018,74
6/10/2018,115
6/11/2018,147
6/12/2018,106
6/13/2018,132
6/14/2018,79
6/15/2018,81
6/16/2018,72
6/17/2018,74
6/18/2018,115
6/19/2018,104
6/20/2018,112
6/21/2018,120
6/22/2018,78
6/23/2018,74
6/24/2018,81
6/25/2018,94
6/26/2018,131
6/27/2018,97
6/28/2018,139
6/29/2018,76
6/30/2018,57
7/1/2018,70
7/2/2018,84
7/3/2018,96
7/4/2018,103
7/5/2018,90
7/6/2018,59
7/7/2018,43
7/8/2018,60
7/9/2018,68
7/10/2018,71
7/11/2018,56
7/12/2018,52
7/13/2018,80
7/14/2018,71
7/15/2018,68
7/16/2018,114
7/17/2018,106
7/18/2018,142
7/19/2018,128
7/20/2018,112
7/21/2018,91
7/22/2018,75
7/23/2018,145
7/24/2018,131
7/25/2018,139
7/26/2018,110
7/27/2018,88
7/28/2018,95
7/29/2018,78
7/30/2018,139
7/31/2018,150
8/1/2018,160
8/2/2018,144
8/3/2018,143
8/4/2018,115
8/5/2018,94
8/6/2018,175
8/7/2018,180
8/8/2018,131
8/9/2018,131
8/10/2018,120
8/11/2018,83
8/12/2018,78
8/13/2018,111
8/14/2018,133
8/15/2018,111
8/16/2018,123
8/17/2018,117
8/18/2018,93
8/19/2018,97
8/20/2018,108
8/21/2018,86
8/22/2018,90
8/23/2018,58
8/24/2018,62
8/25/2018,24
8/26/2018,31
8/27/2018,29
8/28/2018,14
8/29/2018,5
9/3/2018,1
(blank),
Grand Total,48609
